rank,address,lit,kind,entity,category,net_24h,net_7d,net_30d
4009,0x5fdd3c51c4cd26fcb4cfc4b896b7dc3e8975a0b5,20.05938280,wallet,,,0.00000000,0.00000000,0.00000000
4010,0x07c29630dc30f743caaa1d0a8e4d76a535ac20ed,20.01000000,wallet,,,0.00000000,0.00000000,0.00000000
4011,0x55f5c020371481292b771419d9ce485e5afc7031,20.00528592,wallet,,,0.00000000,5.81629549,20.00528592
4012,0x734a7aee270c8967ccd5ba5951a9f353aa104f7c,20.00406466,wallet,,,0.00000000,0.00000000,20.00406466
4013,0x59af504d35146abd20204215aee400c18b9169b2,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4014,0x773460940b8b1f6fb239fad1745404550b51b372,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4015,0xe393ef125518344add214d4531ad7f307cb101f0,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4016,0x1bab103d12190fb001c6ef300c9721aec5d39f5f,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4017,0x591c269aa0317b565f19b3c1ac8c5792f2cef8e8,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4018,0xa3bacc131822422e6125086d98708829488dbda3,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4019,0x636bb636ebf9e3005d284654c484bd5e27256c1e,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4020,0x5292692c21318c1ee2617a390b22cf320bb8d2e4,20.00000000,wallet,,,0.00000000,0.00000000,20.00000000
4021,0xf263bbbc494f1f7afb1482e30002533be3f0afa7,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4022,0x4a1fd046ec9940ffd750ed9628b4a8008cc6b554,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4023,0x84b1027bdfa21c4d416486b8c0608d54ed96dcc6,20.00000000,wallet,,,0.00000000,0.00000000,20.00000000
4024,0x71f58305fa205e95e5aa80433315d5688cabab6f,20.00000000,wallet,,,0.00000000,0.00000000,0.00000000
4025,0xfa00a9ed787f3793db668bff3e6e6e7db0f92a1b,19.99417338,wallet,,,0.00001992,0.01796847,0.83430527
4026,0x49363515581a09157b425be196df8ad964cbf525,19.98921011,wallet,,,0.00000000,0.00000000,0.00000000
4027,0x9ad2bf5c84b7089ddd80495dbdfb6db2ed47e6db,19.98900991,wallet,,,0.00000000,0.00000000,0.00000000
4028,0x7af2e7d0e472c766c850bbbf43209eb8e36ead87,19.98775616,wallet,,,0.00000000,0.00000000,0.00000000
4029,0xa4556c5df27339d1873ed496ea268729229a3395,19.89416415,wallet,,,0.00000000,0.00000000,0.00000000
4030,0x17b74ad6fc1be13b05dee534b3030d217a28d2c0,19.83248584,wallet,,,0.00000000,0.00000000,19.83248584
4031,0x74554d543b50b740e14dfeffd0f142948e66f890,19.83000000,wallet,,,0.00000000,0.00000000,0.00000000
4032,0xa067d7a12accbeff778ac070db25fc4113bf7394,19.80000000,wallet,,,0.00000000,0.00000000,0.00000000
4033,0xd4bd006f01a3f2682e79af04613dfb6cd7daf4de,19.74441324,wallet,,,0.00000000,0.00000000,0.00000000
4034,0x1e67e9a552cd1e57a6943631787a6a5f76ba76fe,19.72867351,wallet,,,0.00000000,-30.99412689,19.72867351
4035,0xdd1ec42a7968de1b238a96dc63ae2d2e10a59b51,19.71151729,wallet,,,0.00000000,0.00000000,0.00000000
4036,0x378b4ea5725a9f4625cf36992f40ad1dbf4d00aa,19.69307138,wallet,,,0.00000000,0.00000000,19.69307138
4037,0x4553a8e415c50f4b8a1fe0101070c186f85c00da,19.60000000,wallet,,,0.00000000,0.00000000,0.00000000
